Country,Confirmed,Deaths,Recovered,Active
US,2137731,116963,583503,1437265
Brazil,923189,45241,490005,387943
Russia,544725,7274,293780,243671
India,354065,11903,186935,155227
United Kingdom,299600,42054,1293,256253
Spain,244328,27136,150376,66816
Italy,237500,34405,178526,24569
Peru,237156,7056,125205,104895
France,194347,29550,73459,91338
Iran,192439,9065,152675,30699
Germany,188252,8820,172842,6590
Chile,184449,3383,156232,24834
Turkey,181298,4842,153379,23077
Mexico,154863,18310,115394,21159
Pakistan,154760,2975,58437,93348
Saudi Arabia,136315,1052,89540,45723
Canada,101074,8270,0,92804
Bangladesh,94481,1262,36264,56955
China,84422,4638,79493,291
Qatar,82077,80,60461,21536
South Africa,76334,1625,42063,32646
Belgium,60155,9663,16625,33867
Belarus,55369,318,31273,23778
Sweden,53323,4939,0,48384
Colombia,53211,1808,19986,31417
Netherlands,49288,6089,179,43020
Ecuador,47943,3970,23684,20289
Egypt,47856,1766,12730,33360
United Arab Emirates,42982,293,28861,13828
Singapore,40969,26,31163,9780
Indonesia,40400,2231,15703,22466
Portugal,37336,1522,23212,12602
Kuwait,36958,303,28206,8449
Argentina,34159,878,10174,23107
Ukraine,33209,922,15054,17233
Switzerland,31154,1954,28900,300
Poland,30195,1272,14654,14269
Philippines,26781,1103,6552,19126
Afghanistan,26310,491,5508,20311
Ireland,25334,1709,22698,927
Oman,25269,114,11089,14066
Dominican Republic,23686,615,14133,8938
Iraq,22700,712,9862,12126
Romania,22415,1437,16071,4907
Panama,21962,457,13774,7731
Bolivia,19883,659,3752,15472
Bahrain,19553,47,13866,5640
Israel,19495,302,15449,3744
Armenia,17489,293,6571,10625
Japan,17484,934,15652,898
Austria,17189,681,16089,419
Nigeria,17148,455,5623,11070
Kazakhstan,15542,88,9647,5807
Denmark,12437,598,11312,527
Serbia,12426,256,11624,546
Moldova,12254,423,6901,4930
South Korea,12198,279,10774,1145
Ghana,12193,58,4326,7809
Algeria,11147,788,7842,2517
Guatemala,10706,418,2096,8192
Azerbaijan,10662,126,5948,4588
Czechia,10111,331,7358,2422
Cameroon,9864,276,5570,4018
Honduras,9656,330,1075,8251
Morocco,8931,212,7937,782
Norway,8660,242,8138,280
Malaysia,8505,121,7733,651
Sudan,7740,477,2820,4443
Australia,7370,102,6861,407
Finland,7112,326,6200,586
Nepal,6591,19,1158,5414
Cote d'Ivoire,5679,46,2637,2996
Uzbekistan,5493,19,4096,1378
Senegal,5247,70,3525,1652
Tajikistan,5160,50,3624,1486
Congo (Kinshasa),4974,112,628,4234
Guinea,4639,26,3327,1286
Haiti,4547,80,24,4443
Djibouti,4539,43,3324,1172
North Macedonia,4299,201,1757,2341
Gabon,4114,29,1432,2653
