Country,2003-03-17,2003-03-18,2003-03-19,2003-03-20,2003-03-21,2003-03-22,2003-03-24,2003-03-25,2003-03-26,2003-03-27,2003-03-28,2003-03-29,2003-03-31,2003-04-01,2003-04-02,2003-04-03,2003-04-04,2003-04-05,2003-04-07,2003-04-08,2003-04-09,2003-04-10,2003-04-11,2003-04-12,2003-04-14,2003-04-15,2003-04-16,2003-04-17,2003-04-18,2003-04-19,2003-04-21,2003-04-22,2003-04-23,2003-04-24,2003-04-25,2003-04-26,2003-04-28,2003-04-29,2003-04-30,2003-05-01,2003-05-02,2003-05-03,2003-05-05,2003-05-06,2003-05-07,2003-05-08,2003-05-09,2003-05-10,2003-05-12,2003-05-13,2003-05-14,2003-05-15,2003-05-16,2003-05-17,2003-05-19,2003-05-20,2003-05-21,2003-05-22,2003-05-23,2003-05-24,2003-05-26,2003-05-27,2003-05-28,2003-05-29,2003-05-30,2003-05-31,2003-06-02,2003-06-03,2003-06-04,2003-06-05,2003-06-06,2003-06-09,2003-06-10,2003-06-11,2003-06-12,2003-06-13,2003-06-16,2003-06-17,2003-06-18,2003-06-19,2003-06-20,2003-06-23,2003-06-24,2003-06-25,2003-06-26,2003-06-27,2003-06-30,2003-07-01,2003-07-02,2003-07-03,2003-07-04,2003-07-07,2003-07-08,2003-07-09,2003-07-10,2003-07-11
Australia,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
Belgium,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,8.0,8.0,8.0,9.0,9.0,9.0,11.0,11.0,19.0,28.0,29.0,37.0,44.0,53.0,58.0,62.0,69.0,74.0,90.0,91.0,94.0,97.0,98.0,101.0,100.0,100.0,103.0,126.0,132.0,132.0,132.0,139.0,140.0,140.0,140.0,142.0,142.0,146.0,148.0,147.0,149.0,149.0,148.0,148.0,146.0,146.0,145.0,145.0,143.0,143.0,143.0,142.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,148.0,148.0,149.0,151.0,159.0,188.0,198.0,213.0,216.0,218.0,219.0,229.0,229.0,230.0,238.0,242.0,243.0,247.0,246.0,245.0,245.0,246.0,249.0,250.0,251.0,251.0,252.0,252.0,252.0,251.0,251.0,251.0,250.0,249.0,250.0,250.0
China,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,806.0,806.0,806.0,806.0,806.0,1190.0,1190.0,1220.0,1220.0,1268.0,1279.0,1280.0,1290.0,1309.0,685.5,1418.0,1418.0,1432.0,1457.0,1512.0,1512.0,1959.0,2001.0,2305.0,2422.0,2601.0,2753.0,2914.0,3303.0,3460.0,3638.0,3799.0,3971.0,4280.0,4409.0,4560.0,4698.0,4805.0,4884.0,5013.0,5086.0,5124.0,5163.0,5191.0,5209.0,5236.0,5248.0,5249.0,5271.0,5285.0,5309.0,5316.0,5322.0,5323.0,5325.0,5328.0,5328.0,5328.0,5329.0,5329.0,5329.0,5329.0,5328.0,5328.0,5329.0,5328.0,5327.0,5326.0,5326.0,5326.0,5326.0,5326.0,5326.0,5326.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0,5327.0
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Germany,1.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
